TEXT_HERO_KALANI,Kalani
TEXT_TOOLTIP_DIAMOND_PD,Point-Defense: 1 / 0.21s / 1.5km
TEXT_TOOLTIP_DIAMOND_SHIELD,Shields: 900 / [18/R] (Frigate)
TEXT_TOOLTIP_DIAMOND_WEAP1,1x Medium Dual Laser Cannon: 2 / 1.67s / 4.1km
TEXT_TOOLTIP_DIAMOND_WEAP2,4x Medium Rapid Laser Cannons: 6 / 1.67s / 3.6km
TEXT_TOOLTIP_ESCORT_KALANI,2x BX Commando Droid Squad
TEXT_TOOLTIP_HARDCELL,A medium transport frigate developed by the Techno Union and sold to the Intergalactic Banking Clan and Confederacy of Independent Systems. Though typically only lightly armed with anti-starfighter lasers, vessels intended for combat roles are also outfitted with missile launchers. Six such variants were part of the fleet sent to destroy Outbound Flight and were destroyed by CEDF Commander Thrawn. It is best used to screen friendly vessels while providing long-range missile support.
TEXT_TOOLTIP_HARDCELL_FLEET_TENDER,Fighter Tender: 2 / 1.0s / 1.9km
TEXT_TOOLTIP_HARDCELL_HULL,Hull: 700 (Corvette)
TEXT_TOOLTIP_HARDCELL_MOVE,Speed: 5.95 | Accel: 0.2 | Turn: 0.4
TEXT_TOOLTIP_HARDCELL_SHIELD,Shields: 500 / [10/R] (Corvette)
TEXT_TOOLTIP_HARDCELL_SQUADRON,Fighters: 0.5 / 1.5
TEXT_TOOLTIP_HARDCELL_WEAP1,5x Medium Laser Cannons: 2 / 2.08s / 4.0km
TEXT_TOOLTIP_HARDCELL_WEAP2,1x Assault Concussion Missile: 3 / 9.0s / 7.0km
TEXT_TOOLTIP_KALANI,Kalani was a super tactical droid with the rank of general during the Clone Wars. An improvement over the standard tactical droid, Kalani's advanced processors and robust frame would make him an effective tactician and combatant. Dispatched by Count Dooku to Onderon to support its Confederacy-aligned government, Kalani efficiently cracked down on the resistance there until the situation made maintaining the planet unfeasible.
TEXT_TOOLTIP_KALANI_HEALTH,Health: 200 (Hero)
TEXT_TOOLTIP_KALANI_MOVE,Speed: 1.0
TEXT_TOOLTIP_KALANI_WEAP1,1x E-5 Blaster Rifle: 3 / 1.25s / 240m
TEXT_TOOLTIP_LUCREHULKBATTLESHIP,Lucrehulk conversion that uses interior space normally reserved for complements/cargo for extra reactors, shield generators and bracing. Mounts a significant amount of turbolasers as a result, while maintaining a dangerous defensive laser grid. Compared to battle carriers it is much better at ship to ship combat but loses out in sheer fighter presence.
TEXT_TOOLTIP_LUCREHULKBATTLESHIP_HULL,Hull: 26000 (Capital)
TEXT_TOOLTIP_LUCREHULKBATTLESHIP_MOVE,Speed: 2.1 | Accel: 0.05 | Turn: 0.15
TEXT_TOOLTIP_LUCREHULKBATTLESHIP_SHIELD,Shields: 30000 / [75/R] (Capital)
TEXT_TOOLTIP_LUCREHULKBATTLESHIP_SQUADRON,Fighters: 3 / 10 | Bombers: 1 / 4
TEXT_TOOLTIP_LUCREHULKBATTLESHIP_WEAP1,3x Heavy Turbolasers: 2 / 1.03s / 7.6km
TEXT_TOOLTIP_LUCREHULKBATTLESHIP_WEAP2,28x Medium Turbolasers: 2 / 1.0s / 6.6km
TEXT_TOOLTIP_LUCREHULKBATTLESHIP_WEAP3,40x Medium Quad Laser Cannons: 2 / 0.5s / 4.6km
TEXT_TOOLTIP_MUNIFEX,Also known as the "Class 1000" for setting the modern KDY production batch size. A fragile but over-gunned frigate produced for the Trade Defence Force two centuries before the Clone Wars. Intended to eliminate similar-sized vessels while also being plentiful enough to mass-attack larger cruisers.
TEXT_TOOLTIP_MUNIFEX_HULL,Hull: 900 (Frigate)
TEXT_TOOLTIP_MUNIFEX_MOVE,Speed: 3.5 | Accel: 0.175 | Turn: 0.3
TEXT_TOOLTIP_MUNIFEX_SHIELD,Shields: 900 / [13.5/R] (Frigate)
TEXT_TOOLTIP_MUNIFEX_SQUADRON,Fighters: 0.5 / 0.5
TEXT_TOOLTIP_MUNIFEX_WEAP1,2x Light Turbolasers: 2 / 0.71s / 5.1km
TEXT_TOOLTIP_MUNIFEX_WEAP2,2x Light Ion Cannons: 2 / 1.67s / 5.1km
TEXT_TOOLTIP_PROVIDENCE_DREADNOUGHT,An up-scaled version of a carrier/destroyer Providence used as a flagship in fleet actions or as a contender to larger Republic vessels. It retains a similar armament and role but is progressively more powerful than its smaller sibling.
TEXT_TOOLTIP_PROVIDENCE_DREADNOUGHT_HULL,Hull: 6750 (Capital)
TEXT_TOOLTIP_PROVIDENCE_DREADNOUGHT_MOVE,Speed: 2.8 | Accel: 0.125 | Turn: 0.2
TEXT_TOOLTIP_PROVIDENCE_DREADNOUGHT_SHIELD,Shields: 6000 / [60/R] (Capital)
TEXT_TOOLTIP_PROVIDENCE_DREADNOUGHT_SQUADRON,Fighters: 3 / 10 | Bombers: 3 / 10
TEXT_TOOLTIP_PROVIDENCE_DREADNOUGHT_WEAP1,8x Light Quad Turbolasers: 2 / 2.86s / 5.4km
TEXT_TOOLTIP_PROVIDENCE_DREADNOUGHT_WEAP2,1x Ultraheavy Ion Cannon: 1 / 5.0s / 8.4km
TEXT_TOOLTIP_PROVIDENCE_DREADNOUGHT_WEAP3,4x Light Anti-Fighter Ion Cannons: 2 / 1.67s / 3.4km
TEXT_TOOLTIP_PROVIDENCE_DREADNOUGHT_WEAP4,3x Medium Quad Laser Cannons: 2 / 0.44s / 4.4km
TEXT_TOOLTIP_PROVIDENCE_DREADNOUGHT_WEAP5,8x Assault Concussion Missiles: 3 / 9.0s / 7.4km
TEXT_TOOLTIP_TRENCH,A feared and legendary commander for the Andoan forces, Commerce Guild, and now Confederacy of Independent Systems who was presumed dead on several occasions only to re-appear later. He is a mastermind of blockades and counteroffensives and one of the Confederacy's most experienced officers. He is the nemesis of the Republic Admiral Yularen who has faced him on multiple occasions.
TEXT_UNIT_AUXILIA,Auxilia Pursuit Destroyer
TEXT_UNIT_C9979,C-9979 Carrier
TEXT_UNIT_DH_OMNI,DH-Omni Support Vessel
TEXT_UNIT_DIAMOND,Diamond Cruiser
TEXT_UNIT_HARDCELL,Hardcell Missile Ship
TEXT_UNIT_LUCREHULKBATTLESHIP,Lucrehulk Battleship
TEXT_UNIT_MUNIFEX,Munifex Light Cruiser
TEXT_UNIT_PROVIDENCE_DREADNOUGHT,Providence Dreadnought
